model,scenario,category,netzero_co2_year,cum_co2_gt,cum_co2e_gt,ratio
WITCH 5.0,CO_Bridge,C3,2074.3,911.02,1197.32,1.3143
WITCH 5.0,EN_INDCi2030_1000,C3,2071.2,848.64,1216.39,1.4333
WITCH 5.0,EN_INDCi2030_1000_NDCp,C3,2071.4,848.22,1215.63,1.4332
WITCH 5.0,EN_INDCi2030_1000f,C3,2076.4,926.4,1323.0,1.4281
WITCH 5.0,EN_INDCi2030_1000f_NDCp,C3,2076.6,932.41,1334.54,1.4313
WITCH 5.0,EN_INDCi2030_1200,C4,2083.0,1026.67,1462.18,1.4242
WITCH 5.0,EN_INDCi2030_1200_NDCp,C4,2084.7,1027.45,1472.65,1.4333
WITCH 5.0,EN_INDCi2030_1200f,C4,2084.4,1060.61,1503.94,1.418
WITCH 5.0,EN_INDCi2030_1200f_NDCp,C4,2084.8,1063.8,1512.25,1.4216
WITCH 5.0,EN_INDCi2030_1400,C4,2092.7,1212.49,1707.17,1.408
WITCH 5.0,EN_INDCi2030_1400_NDCp,C4,2093.2,1213.54,1708.56,1.4079
WITCH 5.0,EN_INDCi2030_1400f,C4,2093.3,1212.69,1708.08,1.4085
WITCH 5.0,EN_INDCi2030_1400f_NDCp,C4,2092.9,1215.64,1712.14,1.4084
WITCH 5.0,EN_INDCi2030_600f,C3,2060.0,707.52,1013.05,1.4318
WITCH 5.0,EN_INDCi2030_600f_NDCp,C3,2061.0,710.11,1020.81,1.4375
WITCH 5.0,EN_INDCi2030_700f,C3,2064.0,754.18,1082.27,1.435
WITCH 5.0,EN_INDCi2030_700f_NDCp,C3,2065.0,757.69,1090.99,1.4399
WITCH 5.0,EN_INDCi2030_800,C3,2057.5,670.43,964.86,1.4392
WITCH 5.0,EN_INDCi2030_800_NDCp,C3,2058.4,668.84,963.0,1.4398
WITCH 5.0,EN_INDCi2030_800f,C3,2067.5,807.26,1158.13,1.4346
WITCH 5.0,EN_INDCi2030_800f_NDCp,C3,2068.9,813.35,1169.26,1.4376
WITCH 5.0,EN_INDCi2030_900,C3,2065.5,758.93,1092.68,1.4398
WITCH 5.0,EN_INDCi2030_900_NDCp,C3,2065.8,758.72,1097.35,1.4463
WITCH 5.0,EN_INDCi2030_900f,C3,2071.8,865.57,1239.37,1.4319
WITCH 5.0,EN_INDCi2030_900f_NDCp,C3,2072.7,869.68,1248.8,1.4359
WITCH 5.0,EN_NPi2020_1000,C3,2081.8,828.07,1205.04,1.4552
WITCH 5.0,EN_NPi2020_1000f,C3,2082.8,874.34,1260.54,1.4417
WITCH 5.0,EN_NPi2020_1200,C4,2091.2,1016.64,1449.73,1.426
WITCH 5.0,EN_NPi2020_1200f,C4,2090.2,1024.63,1455.34,1.4204
WITCH 5.0,EN_NPi2020_600,C3,2059.3,467.62,710.31,1.519
WITCH 5.0,EN_NPi2020_600f,C3,2067.8,615.17,911.34,1.4814
WITCH 5.0,EN_NPi2020_700,C3,2065.3,559.28,836.87,1.4963
WITCH 5.0,EN_NPi2020_700f,C3,2071.4,674.94,989.51,1.4661
WITCH 5.0,EN_NPi2020_800,C3,2070.4,646.52,953.74,1.4752
WITCH 5.0,EN_NPi2020_800f,C3,2075.1,739.05,1076.86,1.4571
WITCH 5.0,EN_NPi2020_900,C3,2076.7,738.91,1085.51,1.4691
WITCH 5.0,EN_NPi2020_900f,C3,2079.0,804.41,1166.2,1.4498
WITCH-GLOBIOM 4.4,CD-LINKS_INDC2030i_1600,C3,2087.4,1239.73,1698.76,1.3703
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1600,C3,2094.1,1201.26,1651.33,1.3747
