model,scenario,category,netzero_co2_year,cum_co2_gt,cum_co2e_gt,ratio
IMAGE 3.2,SSP2_SPA2_19I_D,C2,2050.2,628.81,983.62,1.5643
IMAGE 3.2,SSP2_SPA2_19I_LI,C1,2048.1,627.4,933.3,1.4876
IMAGE 3.2,SSP2_SPA2_19I_LIRE,C2,2047.4,544.57,836.04,1.5352
IMAGE 3.2,SSP2_SPA2_19I_RE,C2,2046.9,548.63,866.49,1.5794
MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster,C2,2062.3,886.86,1284.33,1.4482
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,C1,2049.2,423.62,689.75,1.6282
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,C1,2049.3,424.66,690.95,1.6271
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,C2,2061.0,747.37,1153.73,1.5437
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,C2,2060.7,744.12,1147.17,1.5416
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,C2,2058.5,610.24,974.71,1.5973
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,C2,2061.5,724.95,1132.59,1.5623
MESSAGE-GLOBIOM 1.0,SSP2-19,C1,2057.1,588.62,944.06,1.6039
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000,C2,2062.0,997.05,1439.82,1.4441
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,C2,2064.3,908.96,1353.69,1.4893
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,C1,2052.8,574.21,889.52,1.5491
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,2058.8,466.99,791.09,1.694
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,C2,2061.9,877.41,1274.87,1.453
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,C2,2062.3,864.65,1263.3,1.4611
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,C2,2063.4,957.61,1378.44,1.4395
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,C2,2064.6,927.9,1351.32,1.4563
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,C2,2065.2,916.58,1342.8,1.465
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,C2,2063.6,953.16,1374.17,1.4417
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,C2,2056.0,530.37,837.17,1.5785
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,C2,2058.8,587.15,918.1,1.5637
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,C2,2061.9,652.26,1011.68,1.551
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,C1,2050.0,388.66,635.92,1.6362
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,C2,2063.1,685.53,1056.0,1.5404
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,C1,2055.0,435.56,721.55,1.6566
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,C2,2064.3,721.02,1103.41,1.5303
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,C2,2060.0,534.88,867.87,1.6226
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,C1,2060.0,536.43,868.23,1.6185
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,C2,2059.5,535.27,858.89,1.6046
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,C1,2070.0,535.74,942.52,1.7593
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,C1,2070.0,535.81,938.51,1.7516
